ISO3,国家,MMR,MMR年份,原始GDP,GDP年份,logGDP（公式）,政治体制代码,文字类别,政治体制年份,CPR,CPR年份,CPR缺失标记（公式）,log(MMR)（公式）,Regime=1,Regime=2,Regime=3,CPR年份-2018,审计备注,_row
AFG,Afghanistan,521,2023,1983.81261992909,2023,7.592775837784295,0.0,Closed autocracy,2023.0,22.5,2015.0,Observed,6.255750041753367,0.0,0.0,0.0,-3.0,,5
ALB,Albania,7,2023,20501.6470726741,2023,9.928260506907504,2.0,Electoral democracy,2023.0,46.0,2018.0,Observed,1.9459101490553132,0.0,1.0,0.0,0.0,,6
DZA,Algeria,62,2023,15159.3242373415,2023,9.6263710828296,1.0,Electoral autocracy,2023.0,53.6,2019.0,Observed,4.127134385045092,1.0,0.0,0.0,1.0,,7
AGO,Angola,183,2023,8597.53878787554,2023,9.059231253825821,1.0,Electoral autocracy,2023.0,13.7,2016.0,Observed,5.209486152841421,1.0,0.0,0.0,-2.0,,8
ARG,Argentina,33,2023,27230.3968496682,2023,10.212089159548686,2.0,Electoral democracy,2023.0,70.1027087175867,2020.0,Observed,3.4965075614664802,0.0,1.0,0.0,2.0,,9
ARM,Armenia,19,2023,19402.7510915578,2023,9.873170143840682,2.0,Electoral democracy,2023.0,57.1,2016.0,Observed,2.9444389791664403,0.0,1.0,0.0,-2.0,,10
AUS,Australia,2,2023,60684.9596204883,2023,11.013451164144975,3.0,Liberal democracy,2023.0,66.93,2016.0,Observed,0.6931471805599453,0.0,0.0,1.0,-2.0,,11
AUT,Austria,6,2023,64536.2076307547,2023,11.074981703897409,3.0,Liberal democracy,2023.0,65.6525747141987,2013.0,Observed,1.791759469228055,0.0,0.0,1.0,-5.0,,12
AZE,Azerbaijan,18,2023,21310.7386915022,2023,9.966966388569878,1.0,Electoral autocracy,2023.0,54.9,2011.0,Observed,2.8903717578961645,1.0,0.0,0.0,-7.0,,13
BHR,Bahrain,17,2023,57819.9051831242,2023,10.965088375706042,0.0,Closed autocracy,2023.0,,,Missing,2.833213344056216,0.0,0.0,0.0,,,14
BGD,Bangladesh,115,2023,8242.39798977242,2023,9.017046598742207,1.0,Electoral autocracy,2023.0,64.0,2022.0,Observed,4.74493212836325,1.0,0.0,0.0,4.0,,15
BRB,Barbados,35,2023,20865.0155437147,2023,9.945829137991334,3.0,Liberal democracy,2023.0,59.20685012,2012.0,Observed,3.5553480614894135,0.0,0.0,1.0,-6.0,,16
BLR,Belarus,1,2023,27782.4380139967,2023,10.232159373940483,1.0,Electoral autocracy,2023.0,52.6,2019.0,Observed,0.0,1.0,0.0,0.0,1.0,,17
BEL,Belgium,4,2023,63042.0099876309,2023,11.051556608345022,3.0,Liberal democracy,2023.0,66.7,2018.0,Observed,1.3862943611198906,0.0,0.0,1.0,0.0,,18
BEN,Benin,518,2023,3721.21254814808,2023,8.221804847959039,1.0,Electoral autocracy,2023.0,22.4,2022.0,Observed,6.249975242259483,1.0,0.0,0.0,4.0,,19
BTN,Bhutan,47,2023,14610.2959097837,2023,9.589481758460494,3.0,Liberal democracy,2023.0,65.60409679,2010.0,Observed,3.8501476017100584,0.0,0.0,1.0,-8.0,,20
BOL,Bolivia,146,2023,11616.1575595159,2023,9.360152300980499,2.0,Electoral democracy,2023.0,66.5,2016.0,Observed,4.983606621708336,0.0,1.0,0.0,-2.0,,21
BIH,Bosnia and Herzegovina,6,2023,19804.9181465635,2023,9.89368557707921,2.0,Electoral democracy,2023.0,46.01743031,2012.0,Observed,1.791759469228055,0.0,1.0,0.0,-6.0,,22
BWA,Botswana,155,2023,18932.4802712334,2023,9.848634258929248,2.0,Electoral democracy,2023.0,67.4,2017.0,Observed,5.043425116919247,0.0,1.0,0.0,-1.0,,23
BRA,Brazil,67,2023,19079.8122134028,2023,9.856386102889001,2.0,Electoral democracy,2023.0,80.2004995714604,2013.0,Observed,4.204692619390966,0.0,1.0,0.0,-5.0,,24
BGR,Bulgaria,6,2023,33073.6803093453,2023,10.406493088242923,2.0,Electoral democracy,2023.0,,,Missing,1.791759469228055,0.0,1.0,0.0,,,25
BFA,Burkina Faso,242,2023,2486.20669812871,2023,7.818513413477029,0.0,Closed autocracy,2023.0,33.9627403568433,2022.0,Observed,5.488937726156687,0.0,0.0,0.0,4.0,,26
BDI,Burundi,392,2023,1033.00937341776,2023,6.940231543055004,1.0,Electoral autocracy,2023.0,28.5,2017.0,Observed,5.971261839790462,1.0,0.0,0.0,-1.0,,27
CPV,Cabo Verde,40,2023,9228.4604533114,2023,9.130047515460102,2.0,Electoral democracy,2023.0,55.8,2018.0,Observed,3.6888794541139363,0.0,1.0,0.0,0.0,,28
KHM,Cambodia,137,2023,6695.29194763723,2023,8.809159863991137,1.0,Electoral autocracy,2023.0,61.9,2022.0,Observed,4.919980925828125,1.0,0.0,0.0,4.0,,29
CMR,Cameroon,258,2023,4875.25120768005,2023,8.491926911884857,1.0,Electoral autocracy,2023.0,19.3,2018.0,Observed,5.552959584921617,1.0,0.0,0.0,0.0,,30
CAN,Canada,12,2023,58088.3778077995,2023,10.969720885098281,2.0,Electoral democracy,2023.0,,,Missing,2.4849066497880004,0.0,1.0,0.0,,,31
CAF,Central African Republic,692,2023,1132.67643369804,2023,7.032338636567825,1.0,Electoral autocracy,2023.0,17.8,2019.0,Observed,6.539585955617669,1.0,0.0,0.0,1.0,,32
TCD,Chad,748,2023,2433.53330962707,2023,7.797099517130136,0.0,Closed autocracy,2023.0,8.1,2019.0,Observed,6.617402977974478,0.0,0.0,0.0,1.0,,33
CHL,Chile,10,2023,29600.4188613168,2023,10.295543790932193,3.0,Liberal democracy,2023.0,76.2635245751857,2016.0,Observed,2.302585092994046,0.0,0.0,1.0,-2.0,,34
CHN,China,16,2023,22687.2519534328,2023,10.029558457765413,0.0,Closed autocracy,2023.0,84.5,2017.0,Observed,2.772588722239781,0.0,0.0,0.0,-1.0,,35
COL,Colombia,59,2023,18406.6242338491,2023,9.820465891517241,2.0,Electoral democracy,2023.0,81.0,2015.0,Observed,4.07753744390572,0.0,1.0,0.0,-3.0,,36
COM,Comoros,179,2023,3508.15862331545,2023,8.162846570062563,1.0,Electoral autocracy,2023.0,11.6,2022.0,Observed,5.187385805840755,1.0,0.0,0.0,4.0,,37
COD,"Congo, Dem. Rep.",427,2023,1559.33806475859,2023,7.352016692733012,1.0,Electoral autocracy,2023.0,28.1286863587728,2018.0,Observed,6.056784013228625,1.0,0.0,0.0,0.0,,38
COG,"Congo, Rep.",241,2023,6172.28776650683,2023,8.727824836911203,1.0,Electoral autocracy,2023.0,30.11949285,2015.0,Observed,5.484796933490655,1.0,0.0,0.0,-3.0,,39
CRI,Costa Rica,24,2023,26378.5409941926,2023,10.180306117470861,3.0,Liberal democracy,2023.0,70.9,2018.0,Observed,3.1780538303479458,0.0,0.0,1.0,0.0,,40
CIV,Cote d'Ivoire,359,2023,6520.89886459765,2023,8.782767508086865,1.0,Electoral autocracy,2023.0,31.9711571456027,2022.0,Observed,5.883322388488279,1.0,0.0,0.0,4.0,,41
HRV,Croatia,3,2023,41320.257995772,2023,10.62910816706142,2.0,Electoral democracy,2023.0,,,Missing,1.0986122886681098,0.0,1.0,0.0,,,42
CYP,Cyprus,14,2023,51674.90234375,2023,10.852727494732024,3.0,Liberal democracy,2023.0,,,Missing,2.6390573296152584,0.0,0.0,1.0,,,43
CZE,Czechia,3,2023,47558.4106763314,2023,10.76971393301194,3.0,Liberal democracy,2023.0,,,Missing,1.0986122886681098,0.0,0.0,1.0,,,44
DNK,Denmark,4,2023,68993.9031100362,2023,11.141773418951244,3.0,Liberal democracy,2023.0,,,Missing,1.3862943611198906,0.0,0.0,1.0,,,45
DJI,Djibouti,162,2023,6510.67859061619,2023,8.781198967960083,1.0,Electoral autocracy,2023.0,19.0,2012.0,Observed,5.087596335232384,1.0,0.0,0.0,-6.0,,46
DOM,Dominican Republic,124,2023,23282.4895071054,2023,10.055456833718395,2.0,Electoral democracy,2023.0,62.7779892966591,2019.0,Observed,4.820281565605037,0.0,1.0,0.0,1.0,,47
ECU,Ecuador,55,2023,14321.1648295611,2023,9.569493780052932,2.0,Electoral democracy,2023.0,77.8500417459495,2018.0,Observed,4.007333185232471,0.0,1.0,0.0,0.0,,48
EGY,"Egypt, Arab Rep.",17,2023,16691.3873991962,2023,9.722648140774146,1.0,Electoral autocracy,2023.0,58.5,2014.0,Observed,2.833213344056216,1.0,0.0,0.0,-4.0,,49
SLV,El Salvador,39,2023,11404.3342262685,2023,9.341748757413383,1.0,Electoral autocracy,2023.0,53.6,2021.0,Observed,3.6635616461296463,1.0,0.0,0.0,3.0,,50
GNQ,Equatorial Guinea,174,2023,15302.1517835147,2023,9.635748736937133,1.0,Electoral autocracy,2023.0,12.6,2011.0,Observed,5.159055299214529,1.0,0.0,0.0,-7.0,,51
EST,Estonia,5,2023,41284.7746875532,2023,10.628249059347311,3.0,Liberal democracy,2023.0,75.0978731759999,2014.0,Observed,1.6094379124341003,0.0,0.0,1.0,-4.0,,52
SWZ,Eswatini,118,2023,10181.5040730397,2023,9.228328027033676,0.0,Closed autocracy,2023.0,57.7,2022.0,Observed,4.770684624465665,0.0,0.0,0.0,4.0,,53
ETH,Ethiopia,195,2023,2757.95923626099,2023,7.922246278063088,1.0,Electoral autocracy,2023.0,36.0705648652283,2021.0,Observed,5.272999558563747,1.0,0.0,0.0,3.0,,54
FJI,Fiji,30,2023,13194.8047570404,2023,9.487578452089824,2.0,Electoral democracy,2023.0,35.4,2021.0,Observed,3.4011973816621555,0.0,1.0,0.0,3.0,,55
FIN,Finland,8,2023,56051.7701129501,2023,10.934031008964173,3.0,Liberal democracy,2023.0,85.4748603351955,2015.0,Observed,2.0794415416798357,0.0,0.0,1.0,-3.0,,56
FRA,France,7,2023,54296.7230897731,2023,10.902219155846359,3.0,Liberal democracy,2023.0,78.4,2010.0,Observed,1.9459101490553132,0.0,0.0,1.0,-8.0,,57
GAB,Gabon,233,2023,18701.4227766323,2023,9.8363548842603,0.0,Closed autocracy,2023.0,24.8,2021.0,Observed,5.4510384535657,0.0,0.0,0.0,3.0,,58
GMB,"Gambia, The",354,2023,2963.59873467436,2023,7.994159597586803,2.0,Electoral democracy,2023.0,18.9,2020.0,Observed,5.869296913133774,0.0,1.0,0.0,2.0,,59
GEO,Georgia,20,2023,22590.5293649146,2023,10.025286042782644,2.0,Electoral democracy,2023.0,39.25737653,2018.0,Observed,2.995732273553991,0.0,1.0,0.0,0.0,,60
DEU,Germany,4,2023,63140.1949099669,2023,11.05311284905633,3.0,Liberal democracy,2023.0,80.3,2011.0,Observed,1.3862943611198906,0.0,0.0,1.0,-7.0,,61
GHA,Ghana,234,2023,6808.53775003964,2023,8.825932655094995,2.0,Electoral democracy,2023.0,36.3,2022.0,Observed,5.455321115357702,0.0,1.0,0.0,4.0,,62
GRC,Greece,5,2023,36700.5134631055,2023,10.510546024765103,2.0,Electoral democracy,2023.0,,,Missing,1.6094379124341003,0.0,1.0,0.0,,,63
GTM,Guatemala,94,2023,12380.3715121996,2023,9.423867554851297,2.0,Electoral democracy,2023.0,60.6,2015.0,Observed,4.543294782270004,0.0,1.0,0.0,-3.0,,64
GIN,Guinea,494,2023,3904.82395527998,2023,8.269967979383043,0.0,Closed autocracy,2023.0,10.9,2018.0,Observed,6.202535517187923,0.0,0.0,0.0,0.0,,65
GNB,Guinea-Bissau,505,2023,2660.81444655656,2023,7.886387537827321,1.0,Electoral autocracy,2023.0,21.201503046269,2019.0,Observed,6.22455842927536,1.0,0.0,0.0,1.0,,66
GUY,Guyana,75,2023,49312.3603225444,2023,10.805930045088287,1.0,Electoral autocracy,2023.0,29.8771395174816,2020.0,Observed,4.31748811353631,1.0,0.0,0.0,2.0,,67
HTI,Haiti,328,2023,2939.1237948199,2023,7.985866786940444,0.0,Closed autocracy,2023.0,34.3,2017.0,Observed,5.793013608384144,0.0,0.0,0.0,-1.0,,68
HND,Honduras,47,2023,6467.8800352783,2023,8.774603673103579,2.0,Electoral democracy,2023.0,69.3736806153714,2019.0,Observed,3.8501476017100584,0.0,1.0,0.0,1.0,,69
HUN,Hungary,12,2023,40333.2546888118,2023,10.604931586044698,1.0,Electoral autocracy,2023.0,,,Missing,2.4849066497880004,1.0,0.0,0.0,,,70
